,"Tipo di struttura 
[variazione][struttura][dimensione][operazione]",Tempo (ms) iterazione 1,Tempo (ms) iterazione 2,Tempo (ms) iterazione 3,Tempo (ms) iterazione 4,Tempo (ms) iterazione 5,Tempo (ms) iterazione 6,Tempo (ms) iterazione 7,Tempo (ms) iterazione 8,Tempo (ms) iterazione 9,Tempo (ms) iterazione 10,Tempo (ms) iterazione 11,Tempo (ms) iterazione 12,Tempo (ms) iterazione 13,Tempo (ms) iterazione 14,Tempo (ms) iterazione 15,Tempo (ms) iterazione 16,Tempo (ms) iterazione 17,Tempo (ms) iterazione 18,Tempo (ms) iterazione 19,Tempo (ms) iterazione 20,Tempo (ms) iterazione 21,Tempo (ms) iterazione 22,Tempo (ms) iterazione 23,Tempo (ms) iterazione 24,Tempo (ms) iterazione 25,Tempo (ms) iterazione 26,Tempo (ms) iterazione 27,Tempo (ms) iterazione 28,Tempo (ms) iterazione 29,Tempo (ms) iterazione 30,Tempo (ms) iterazione 31,Tempo (ms) iterazione 32,Tempo (ms) iterazione 33,Tempo (ms) iterazione 34,Tempo (ms) iterazione 35,Tempo (ms) iterazione 36,Tempo (ms) iterazione 37,Tempo (ms) iterazione 38,Tempo (ms) iterazione 39,Tempo (ms) iterazione 40,Tempo (ms) iterazione 41,Tempo (ms) iterazione 42,Tempo (ms) iterazione 43,Tempo (ms) iterazione 44,Tempo (ms) iterazione 45,Tempo (ms) iterazione 46,Tempo (ms) iterazione 47,Tempo (ms) iterazione 48,Tempo (ms) iterazione 49,Tempo (ms) iterazione 50
52,minHeap500IncDec,0.797799788415432,0.5129009950906038,0.5666022188961506,0.558200990781188,0.5162991583347321,0.5830000154674053,0.858803279697895,0.8032992482185364,0.5810980219393969,0.5706984084099531,0.8023998234421015,0.4851960111409426,0.490998150780797,0.6331019103527069,0.9205967653542757,0.5227972287684679,0.5943002179265022,0.7903983350843191,0.8996028918772936,0.4693975206464529,0.7172010373324156,0.8253983687609434,0.5162979941815138,0.5820975638926029,0.5765978712588549,0.5317002069205046,0.5010990425944328,0.5065978039056063,0.7533002644777298,0.8909984026104212,0.5896002985537052,0.560899032279849,0.5119007546454668,0.5699009634554386,0.5229979287832975,0.6136004813015461,0.8232973050326109,0.5867013242095709,0.7558993529528379,0.7409984245896339,0.6022995803505182,0.5153992678970098,0.5419992376118898,1.133499899879098,0.5741014610975981,0.4823002964258194,0.46189711429178715,0.5280000623315573,0.5833988543599844,0.5792039446532726
53,minHeap1000IncDec,1.4983026776462793,1.1751994024962187,1.24439992941916,1.023200573399663,1.4827963896095753,1.4363022055476904,1.2548002414405346,1.0116028133779764,1.7330930568277836,1.2266971170902252,0.9904999751597643,1.2047032359987497,1.8177004531025887,1.2748008593916893,0.9946024511009455,1.1669979430735111,1.7152009531855583,1.064597861841321,1.0274986270815134,0.9567001834511757,1.473393989726901,1.2951020617038012,1.0241013951599598,1.2006969191133976,1.430196687579155,1.3556000776588917,1.0390025563538074,0.9718977380543947,1.3263027649372816,1.310399966314435,1.0203009005635977,1.2455035466700792,1.0130011942237616,1.761196879670024,0.9943963959813118,0.967502361163497,1.0204960126429796,1.4621031004935503,1.0737995617091656,1.2369025498628616,1.0103979147970676,1.6459999606013298,1.063999254256487,1.166100613772869,1.3353978283703327,1.426801085472107,1.339396694675088,1.30450539290905,1.1322959326207638,1.558796502649784
54,minHeap2000IncDec,2.3529971949756145,2.5983976665884256,2.5013017002493143,2.026202157139778,2.5569973513484,2.2095993626862764,3.087596269324422,2.5725034065544605,2.811998361721635,2.5047992821782827,2.727698301896453,2.0749957766383886,2.773597603663802,2.144998637959361,2.587802242487669,2.3841948714107275,2.0422986708581448,2.985002240166068,2.0708877127617598,2.574206329882145,2.0965065341442823,2.8731967322528362,2.090603346005082,2.8815933037549257,2.4524983018636703,2.56130238994956,2.350705210119486,2.1011994685977697,2.7408008463680744,2.12239776737988,2.616198267787695,2.0725985523313284,2.6507971342653036,2.0764959044754505,3.1545984093099833,2.1010038908571005,2.30210367590189,2.4972078390419483,2.2738934494554996,2.3320019245147705,2.4496009573340416,2.5271985214203596,2.017802791669965,2.522098133340478,2.1889014169573784,2.226407639682293,2.5868937373161316,2.005096059292555,2.806892851367593,2.1148035302758217
55,minHeap100Extract,0.33040018752217293,0.32170070335268974,0.3146987874060869,0.32139988616108894,0.31539727933704853,0.33929990604519844,0.33889967016875744,0.34559890627861023,0.3178997430950403,0.31390157528221607,0.3187996335327625,0.3155004233121872,0.5335004534572363,0.9067000355571508,0.3332009073346853,0.762799521908164,0.31919823959469795,0.31609879806637764,0.31899893656373024,0.31189993023872375,0.3138019237667322,0.3155998419970274,0.30859955586493015,0.3087990917265415,0.3409001510590315,0.3372989594936371,0.38649956695735455,0.3092994447797537,0.31860056333243847,0.3187991678714752,0.3128000535070896,0.30909921042621136,0.31180004589259624,0.3106994554400444,0.3201994113624096,0.33819954842329025,0.32419851049780846,0.31710066832602024,0.3440994769334793,0.3192995209246874,0.3162000793963671,0.3089986275881529,0.6395005621016026,0.5031004548072815,0.9648993145674467,0.6670993752777576,0.39169960655272007,0.32080220989882946,0.31660147942602634,0.31259935349226
56,minHeap200Extract,0.7140010129660368,0.7058002520352602,0.7219978142529726,0.7174997590482235,0.7088989950716496,0.7152997422963381,0.7378992158919573,0.7194990757852793,0.7208010647445917,0.6944017950445414,0.7232995703816414,0.7262018043547869,0.7105998229235411,1.714201644062996,1.687600975856185,0.7166017312556505,0.7079013157635927,0.7167002186179161,0.7128017023205757,0.7164019625633955,0.7495011668652296,0.75669982470572,0.652700662612915,0.7201025728136301,0.6985017098486423,0.7118000648915768,0.7069003768265247,0.8561005815863609,1.2792982161045074,1.8484012689441442,0.7243996951729059,0.9494004771113396,0.7067990954965353,0.7207982707768679,0.7080999203026295,0.7178981322795153,0.7071997970342636,0.7795002311468124,0.7280984427779913,0.724500510841608,0.7176999934017658,0.7164012640714645,0.7238001562654972,1.501000951975584,1.7424013931304216,0.7147977594286203,0.7364016491919756,0.7168028969317675,0.7207999005913734,0.6698986981064081
57,minHeap500Extract,2.0888997241854668,2.3041972890496254,2.0080970134586096,3.1767007894814014,2.160298638045788,2.3127004969865084,2.3270000237971544,2.0554019138216972,2.293399767950177,3.7472988478839397,1.9428061787039042,2.2980005014687777,2.208595396950841,2.0694013219326735,1.9931972492486238,3.1685014255344868,2.3504996206611395,2.291299169883132,2.0257974974811077,2.3106029257178307,2.2813002578914165,3.4702038392424583,2.3270007222890854,2.104600891470909,2.3168984334915876,2.2603063844144344,2.234301995486021,3.326898906379938,2.070997841656208,2.2008984815329313,1.9428005907684565,2.1012050565332174,2.078902907669544,2.8359994757920504,2.102997386828065,2.0860994700342417,1.9232009071856737,1.9004989881068468,2.0446009002625942,3.4140017814934254,2.0426989067345858,2.0315987057983875,2.3115002550184727,1.9888996612280607,2.2787980269640684,4.462400218471885,2.1108987275511026,2.302800538018346,2.020600950345397,2.1301978267729282
58,minHeap1000Extract,7.005701074376702,4.565399140119553,4.869497613981366,6.596397375687957,4.514305852353573,7.1242013946175575,4.717696690931916,4.7549051232635975,6.587102077901363,4.63659898377955,4.557000705972314,5.95509959384799,4.7758035361766815,4.915096331387758,5.8349003084003925,5.072397878393531,5.958896595984697,5.40979765355587,4.551595775410533,6.422498496249318,5.329500883817673,4.646902903914452,7.735804421827197,4.518802976235747,5.263903643935919,5.522803170606494,4.538704175502062,5.516100907698274,4.615700803697109,4.702400881797075,7.303005084395409,5.645002471283078,4.585797898471355,6.790499901399016,4.559100838378072,6.748603889718652,5.162603221833706,4.6662986278533936,6.12259772606194,4.4896050821989775,4.774102009832859,7.70279741846025,4.708302672952414,5.779902916401625,4.567802883684635,4.723100923001766,5.933202104642987,4.627197049558163,4.728900967165828,5.849204957485199
59,minHeap2000Extract,10.237703332677484,12.610298115760088,11.810600524768233,13.146195793524384,11.809702729806304,10.38359897211194,11.923101730644703,12.828900944441557,14.42170049995184,13.095190981402993,11.45009626634419,11.006298940628767,12.361695058643818,12.929596472531557,12.042100308462977,10.87650447152555,13.097095303237438,11.897198157384992,11.982707306742668,12.384497094899416,11.418300913646817,11.741203023120761,13.089794432744384,13.49480845965445,13.970291707664728,12.27189670316875,12.038706336170435,10.32669935375452,12.047204887494445,12.083499925211072,12.64440012164414,13.293799478560686,10.321598267182708,12.53279554657638,12.163695180788636,12.58888840675354,12.507298728451133,10.28808974660933,12.813495704904199,12.101300526410341,12.08261284045875,10.97050542011857,11.523300781846046,12.629295466467738,12.535897549241781,11.59560028463602,10.45210100710392,11.457909597083926,12.500809971243143,12.319796020165086
60,minLinkedList100Insert,0.273300101980567,0.5325991660356522,0.20800088532269,0.26290141977369785,0.2602993045002222,0.25729904882609844,0.2599011640995741,0.2672993578016758,0.25989976711571217,0.18570199608802795,0.26440038345754147,0.2731999848037958,0.23779994808137417,0.267598545178771,0.26089977473020554,0.25990139693021774,0.1797990407794714,0.25900150649249554,0.5665994249284267,0.2677994780242443,0.2658008597791195,0.2879996318370104,0.24339905939996243,0.26019918732345104,0.1968001015484333,0.21740072406828403,0.2627002540975809,0.6447003688663244,0.5156989209353924,0.22210064344108105,0.2669000532478094,0.19129994325339794,0.24000066332519054,0.19529950805008411,0.20019919611513615,0.26310025714337826,0.23129954934120178,0.26260060258209705,0.22020097821950912,0.21650036796927452,0.21410034969449043,0.24560210295021534,0.2859984524548054,0.6419005803763866,0.2680020406842232,0.2163995523005724,0.26129838079214096,0.29980065301060677,0.26530143804848194,0.2562014851719141
61,minLinkedList200Insert,0.568401301279664,0.6461995653808117,0.9108008816838264,0.7270993664860725,0.8943998254835606,1.1784995440393686,1.5941988676786423,0.7339001167565584,1.6470998525619507,0.892298761755228,0.5874992348253727,0.9045000188052654,0.9453988168388605,0.784900039434433,0.6851002108305693,0.5763992667198181,0.5803003441542387,0.5662988405674696,0.898800091817975,0.8789997082203627,1.1615017428994179,1.1088002938777208,0.5801992956548929,0.8025022689253092,0.8137004915624857,0.8989009074866772,0.9101994801312685,0.5995004903525114,0.5562994629144669,0.8957998361438513,0.7943003438413143,0.5693007260560989,0.5725999362766743,0.5789997521787882,0.7887009996920824,1.6656992956995964,0.727399718016386,0.6374989170581102,0.8880987297743559,0.9041009470820427,0.7885978557169437,0.8142990991473198,0.6361005362123251,0.7235999219119549,0.5904005374759436,0.8978990372270346,0.908601563423872,0.6820003036409616,0.9054995607584715,0.9790016338229179
62,minLinkedList500Insert,4.202199401333928,3.316399408504367,4.244401352480054,4.621000494807959,4.2189969681203365,3.4097013995051384,4.106601467356086,4.562999587506056,3.1092988792806864,4.912101663649082,3.272000700235367,5.572902038693428,3.432199591770768,4.744898993521929,4.592999117448926,3.605399513617158,3.3144005574285984,5.811198148876429,4.450198961421847,3.512298921123147,3.3200003672391176,5.507403053343296,4.738301737233996,3.281698562204838,6.534097250550985,3.499699290841818,3.205597400665283,3.337498288601637,8.096300764009356,3.121498506516218,3.3180012833327055,5.829102359712124,4.14019962772727,3.120901295915246,3.4647046122699976,5.7878990191966295,3.1231013126671314,3.3039955887943506,5.029902094975114,4.64230147190392,3.3259005285799503,3.1645994167774916,5.590701708570123,4.92199813015759,3.416401334106922,3.524700878188014,4.743203520774841,4.461401840671897,3.574999514967203,5.744698457419872
63,minLinkedList1000Insert,14.006897108629346,12.076101265847683,13.513902900740504,90.99969663657248,28.750500176101923,12.164500541985035,13.511603698134422,13.548900140449405,15.164094744250178,13.873799005523324,16.567301005125046,13.48180091008544,14.819499105215073,14.517799019813538,11.933101806789637,13.502295827493072,13.292397605255246,14.286699006333947,15.356296440586448,15.441093128174543,17.046798253431916,13.422903139144182,15.173199819400907,15.096297254785895,13.08439951390028,16.569499392062426,14.183698920533061,11.706297751516104,14.077200554311275,14.474109280854464,14.709995361045003,13.921499252319336,14.839299023151398,13.534806668758392,13.701001415029168,13.451497768983245,11.993998195976019,13.016997603699565,14.982995577156544,13.406398007646203,16.68470213189721,14.519097749143839,15.738901915028691,12.846601661294699,13.355002738535404,13.82050197571516,11.758299777284265,12.725900392979383,12.91180239059031,13.677299721166492
64,minLinkedList2000Insert,52.148092770949006,50.612201215699315,49.71609916538,47.61779750697315,50.47190189361572,53.58519987203181,50.5213001742959,51.5188027638942,51.57139920629561,49.75090338848531,48.533696914091706,53.15729649737477,52.53629945218563,51.487499848008156,56.25220132060349,48.30480576492846,54.42050029523671,50.66359136253595,51.68589670211077,51.60240735858679,48.18550031632185,50.05250056274235,52.15060152113438,52.037193439900875,51.368702203035355,51.8806972540915,50.11749267578125,51.372397458180785,52.97730164602399,53.358895471319556,53.123194025829434,51.75040569156408,51.15849571302533,56.095099076628685,52.52479645423591,57.77429882436991,50.68139941431582,57.12270154617727,48.530004220083356,51.455791341140866,51.76429799757898,50.84000271745026,53.07320132851601,51.712400978431106,57.04969237558544,51.5273951459676,50.643703201785684,52.0401019603014,53.53539902716875,51.01049994118512
65,minLinkedList100IncDec,0.35859853960573673,0.3238001372665167,0.3096002619713545,0.29960088431835175,0.6821011193096638,1.0005985386669636,0.2971002832055092,0.3733991179615259,0.30509987846016884,0.2905013971030712,0.31529972329735756,0.318099744617939,0.3231989685446024,0.3234993200749159,0.35980110988020897,0.32880017533898354,0.3138987813144922,0.3098000306636095,0.2752002328634262,0.2862000837922096,0.31489995308220387,0.3044004552066326,0.30099833384156227,0.26640063151717186,0.31690020114183426,0.3104996867477894,0.3031997475773096,0.30950061045587063,1.0819996241480112,0.6173001602292061,0.30800094828009605,0.34560239873826504,0.29439921490848064,0.2844997216016054,0.30429940670728683,0.3213007003068924,0.298899132758379,0.37560216151177883,0.34540053457021713,0.31710066832602024,0.30259788036346436,0.2832012251019478,0.31330157071352005,0.30270032584667206,0.3026002086699009,0.3006004262715578,0.5482991691678762,0.3446012269705534,0.31480100005865097,0.3051005769520998
66,minLinkedList200IncDec,3.6232974380254745,1.0749981738626957,1.027798978611827,1.078699715435505,1.732400618493557,1.0422002524137497,1.02790049277246,1.9296989776194096,1.2410986237227917,1.0891996789723635,1.0810000821948051,1.0539994109421968,1.0617994703352451,1.0530995205044746,1.037300331518054,1.0884986259043217,1.0186007712036371,2.6424003299325705,1.0691990610212088,1.0497001931071281,0.9972020052373409,1.010300125926733,0.9991992264986038,1.118099084123969,1.098299864679575,1.2607008684426546,2.7741994708776474,1.0796990245580673,1.0615019127726555,1.0482987854629755,1.0687990579754114,0.9487010538578033,1.0387985967099667,1.10479979775846,2.284798538312316,1.315499423071742,1.0798987932503223,1.105801435187459,1.0471984278410673,1.051099505275488,2.022698987275362,1.0742999147623777,1.0380023159086704,4.018798703327775,1.0397990699857473,0.9849998168647289,1.028300728648901,1.2375018559396267,1.0811008978635073,0.9670995641499758
67,minLinkedList500IncDec,9.238999104127288,7.556400960311294,7.381598232313991,8.20860406383872,6.541802082210779,8.215501205995679,6.483399076387286,7.906100247055292,6.414800649508834,10.674101300537586,6.817099405452609,8.853999199345708,6.515600485727191,8.000801550224423,8.232694352045655,7.8416981268674135,7.560101803392172,6.59860298037529,8.701900951564312,6.3108960166573524,8.974501397460699,6.5085990354418755,8.273499319329858,6.1961994506418705,8.928298717364669,6.290601100772619,8.021699963137507,6.6397967748343945,8.5266032256186,7.862602127715945,7.734198588877916,8.035103091970086,6.423104088753462,7.797803031280637,6.331101059913635,7.919401628896594,6.6600043792277575,8.765402482822537,6.717905402183533,8.84470297023654,6.546602118760347,8.077700855210423,6.3598002307116985,8.018199354410172,8.85570072568953,6.859503220766783,7.117797154933214,8.951197611168027,7.925703190267086,7.57839810103178
68,minLinkedList1000IncDec,30.06090153940022,39.526100270450115,30.865697422996163,34.77780427783728,30.297599965706468,31.55499929562211,32.41520351730287,31.726898858323693,28.176603838801384,36.63329780101776,28.29580195248127,30.227099545300007,29.543897602707148,32.8333992511034,30.834792647510767,30.382102821022272,29.527898645028472,31.389399664476514,31.027201795950532,32.67940413206816,29.59770103916526,30.729799065738916,29.912996804341674,31.848098849877715,31.61289868876338,31.668994575738907,31.3892993144691,39.19479972682893,30.997003195807338,32.011397648602724,31.815496739000082,30.011099530383945,28.845297638326883,31.70910174958408,33.60179904848337,31.696297228336334,31.55660512857139,30.724504962563515,30.390398344025016,31.18780325166881,28.615897754207253,31.610397156327963,29.221601085737348,32.58010558784008,30.962102580815554,28.496301267296076,31.214498449116945,28.626001439988613,30.155297135934234,30.309997964650393
69,minLinkedList2000IncDec,129.67390194535255,126.07090128585696,136.2986033782363,130.33279846422374,134.5418938435614,128.66119691170752,127.82630021683872,131.49910396896303,126.32059725001454,129.23219637013972,126.55229610390961,129.85399668104947,125.44298870489001,125.90439850464463,125.2304995432496,128.12370155006647,127.07130308263004,127.78159859590232,128.4891020040959,128.39980074204504,142.20659504644573,127.4073061067611,211.58379595726728,126.00510870106518,122.72569537162781,131.39029871672392,133.3395957481116,129.87960455939174,131.2147043645382,126.07739283703268,127.29960260912776,125.95849949866533,139.00619908235967,129.14510443806648,130.4343994706869,126.17330043576658,142.3873903695494,135.565196396783,125.28749648481607,135.3868031874299,133.7333999108523,130.0160966347903,130.47719839960337,132.35090067610145,123.76510049216449,133.7890955619514,128.66309890523553,126.46340159699321,130.40580018423498,132.22110830247402
