Iteration,maxHeapInsertTimes,maxHeapIncDecTimes,maxHeapExtractTimes,minHeapInsertTimes,minHeapIncDecTimes,minHeapExtractTimes,maxLinkedListInsertTimes,maxLinkedListIncDecTimes,maxLinkedListExtractTimes,minLinkedListInsertTimes,minLinkedListIncDecTimes,minLinkedListExtractTimes,maxLinkedOrderedListInsertTimes,maxLinkedOrderedListIncDecTimes,maxLinkedOrderedListExtractTimes,minLinkedOrderedListInsertTimes,minLinkedOrderedListIncDecTimes,minLinkedOrderedListExtractTimes,,maxHeapInsertTimes,maxHeapIncDecTimes,maxHeapExtractTimes,minHeapInsertTimes,minHeapIncDecTimes,minHeapExtractTimes,maxLinkedListInsertTimes,maxLinkedListIncDecTimes,maxLinkedListExtractTimes,minLinkedListInsertTimes,minLinkedListIncDecTimes,minLinkedListExtractTimes,maxLinkedOrderedListInsertTimes,maxLinkedOrderedListIncDecTimes,maxLinkedOrderedListExtractTimes,minLinkedOrderedListInsertTimes,minLinkedOrderedListIncDecTimes,minLinkedOrderedListExtractTimes
21,0.0059604644775390625,0.0026226043701171875,0.013113021850585938,0.007152557373046875,0.0019073486328125,0.015974044799804688,0.0059604644775390625,0.04267692565917969,0.12922286987304688,0.0059604644775390625,0.07104873657226562,0.12111663818359375,0.010251998901367188,0.07462501525878906,0.0026226043701171875,0.0054836273193359375,0.10251998901367188,0.0026226043701171875,,0.2396106719970703,0.09465217590332031,0.3402233123779297,0.23484230041503906,0.08893013000488281,0.3352165222167969,0.4363059997558594,0.8707046508789062,3.3080577850341797,0.23221969604492188,1.3649463653564453,3.522634506225586,0.4048347473144531,2.535104751586914,0.06866455078125,0.3001689910888672,2.752065658569336,0.06604194641113281
22,0.0054836273193359375,0.00762939453125,0.01239776611328125,0.0073909759521484375,0.0030994415283203125,0.011920928955078125,0.006198883056640625,0.04124641418457031,0.11658668518066406,0.0054836273193359375,0.12493133544921875,0.12254714965820312,0.00858306884765625,0.12755393981933594,0.00286102294921875,0.0069141387939453125,0.16427040100097656,0.0021457672119140625,,0.24509429931640625,0.10228157043457031,0.35262107849121094,0.2422332763671875,0.09202957153320312,0.347137451171875,0.4425048828125,0.9119510650634766,3.4246444702148438,0.2377033233642578,1.489877700805664,3.645181655883789,0.4134178161621094,2.66265869140625,0.07152557373046875,0.3070831298828125,2.9163360595703125,0.06818771362304688
23,0.00858306884765625,0.0069141387939453125,0.012636184692382812,0.00667572021484375,0.0064373016357421875,0.015735626220703125,0.00762939453125,0.04029273986816406,0.11754035949707031,0.00858306884765625,0.05221366882324219,0.1513957977294922,0.009059906005859375,0.0247955322265625,0.0026226043701171875,0.0133514404296875,0.1373291015625,0.0026226043701171875,,0.2536773681640625,0.10919570922851562,0.36525726318359375,0.24890899658203125,0.09846687316894531,0.3628730773925781,0.45013427734375,0.9522438049316406,3.542184829711914,0.24628639221191406,1.5420913696289062,3.7965774536132812,0.42247772216796875,2.6874542236328125,0.07414817810058594,0.3204345703125,3.0536651611328125,0.07081031799316406
24,0.0095367431640625,0.00286102294921875,0.02002716064453125,0.0073909759521484375,0.005245208740234375,0.012874603271484375,0.00858306884765625,0.03361701965332031,0.11920928955078125,0.008106231689453125,0.044345855712890625,0.24628639221191406,0.0095367431640625,0.09989738464355469,0.004291534423828125,0.0059604644775390625,0.14734268188476562,0.0030994415283203125,,0.263214111328125,0.11205673217773438,0.385284423828125,0.2562999725341797,0.10371208190917969,0.3757476806640625,0.45871734619140625,0.9858608245849609,3.6613941192626953,0.2543926239013672,1.5864372253417969,4.042863845825195,0.43201446533203125,2.787351608276367,0.07843971252441406,0.32639503479003906,3.201007843017578,0.07390975952148438
25,0.0054836273193359375,0.0019073486328125,0.0247955322265625,0.0040531158447265625,0.00476837158203125,0.011920928955078125,0.005245208740234375,0.06008148193359375,0.13494491577148438,0.0040531158447265625,0.003814697265625,0.13685226440429688,0.004291534423828125,0.035762786865234375,0.0026226043701171875,0.007152557373046875,0.04458427429199219,0.002384185791015625,,0.26869773864746094,0.11396408081054688,0.4100799560546875,0.26035308837890625,0.10848045349121094,0.3876686096191406,0.4639625549316406,1.0459423065185547,3.7963390350341797,0.25844573974609375,1.5902519226074219,4.179716110229492,0.4363059997558594,2.8231143951416016,0.08106231689453125,0.33354759216308594,3.2455921173095703,0.0762939453125
26,0.003814697265625,0.003337860107421875,0.012636184692382812,0.0050067901611328125,0.003337860107421875,0.011682510375976562,0.003814697265625,0.0073909759521484375,0.12111663818359375,0.004291534423828125,0.06079673767089844,0.2818107604980469,0.007152557373046875,0.08273124694824219,0.0026226043701171875,0.0040531158447265625,0.06318092346191406,0.003337860107421875,,0.27251243591308594,0.11730194091796875,0.4227161407470703,0.26535987854003906,0.11181831359863281,0.3993511199951172,0.4677772521972656,1.0533332824707031,3.9174556732177734,0.2627372741699219,1.6510486602783203,4.461526870727539,0.44345855712890625,2.9058456420898438,0.08368492126464844,0.3376007080078125,3.3087730407714844,0.07963180541992188
27,0.004291534423828125,0.003814697265625,0.020503997802734375,0.003337860107421875,0.0019073486328125,0.011920928955078125,0.004291534423828125,0.01621246337890625,0.12564659118652344,0.0057220458984375,0.05173683166503906,0.12612342834472656,0.0045299530029296875,0.037670135498046875,0.003337860107421875,0.006198883056640625,0.0896453857421875,0.0019073486328125,,0.27680397033691406,0.12111663818359375,0.4432201385498047,0.26869773864746094,0.11372566223144531,0.4112720489501953,0.47206878662109375,1.0695457458496094,4.043102264404297,0.2684593200683594,1.7027854919433594,4.587650299072266,0.44798851013183594,2.9435157775878906,0.08702278137207031,0.3437995910644531,3.398418426513672,0.08153915405273438
28,0.004291534423828125,0.00286102294921875,0.011920928955078125,0.0050067901611328125,0.0030994415283203125,0.011920928955078125,0.004291534423828125,0.0152587890625,0.118255615234375,0.003814697265625,0.012636184692382812,0.12326240539550781,0.0035762786865234375,0.10633468627929688,0.0019073486328125,0.006198883056640625,0.20551681518554688,0.002384185791015625,,0.2810955047607422,0.1239776611328125,0.4551410675048828,0.27370452880859375,0.11682510375976562,0.42319297790527344,0.4763603210449219,1.0848045349121094,4.161357879638672,0.2722740173339844,1.7154216766357422,4.710912704467773,0.4515647888183594,3.0498504638671875,0.08893013000488281,0.34999847412109375,3.6039352416992188,0.08392333984375
29,0.0030994415283203125,0.004291534423828125,0.010967254638671875,0.0057220458984375,0.0026226043701171875,0.011920928955078125,0.008106231689453125,0.007152557373046875,0.11396408081054688,0.00476837158203125,0.14209747314453125,0.13184547424316406,0.0057220458984375,0.14400482177734375,0.0021457672119140625,0.0040531158447265625,0.10418891906738281,0.0021457672119140625,,0.2841949462890625,0.12826919555664062,0.4661083221435547,0.27942657470703125,0.11944770812988281,0.43511390686035156,0.484466552734375,1.0919570922851562,4.275321960449219,0.2770423889160156,1.8575191497802734,4.8427581787109375,0.4572868347167969,3.1938552856445312,0.09107589721679688,0.3540515899658203,3.7081241607666016,0.08606910705566406
30,0.004291534423828125,0.0021457672119140625,0.011682510375976562,0.00476837158203125,0.00476837158203125,0.010728836059570312,0.007152557373046875,0.057697296142578125,0.20885467529296875,0.010251998901367188,0.14328956604003906,0.2460479736328125,0.3376007080078125,0.2646446228027344,0.0026226043701171875,0.049114227294921875,0.2841949462890625,0.0021457672119140625,,0.2884864807128906,0.1304149627685547,0.47779083251953125,0.2841949462890625,0.12421607971191406,0.4458427429199219,0.4916191101074219,1.1496543884277344,4.4841766357421875,0.2872943878173828,2.0008087158203125,5.08880615234375,0.7948875427246094,3.4584999084472656,0.09369850158691406,0.4031658172607422,3.992319107055664,0.08821487426757812
